session,subject,date,round,frames,frames_outlier,velocity_p50,velocity_p75,velocity_p90,velocity_p95,velocity_p99,motion_frac_thr5,motion_frac_thr10,motion_frac_thr20,motion_frac_thr40,n_transitions,n_forecast_samples_train,n_forecast_samples_test
0,LiangShi,2020-10-25,20,200,0,28.50218393450184,35.16833172914043,40.94164528048017,42.728492313838125,51.43913580452844,0.9396984924623115,0.8592964824120602,0.628140703517588,0.12562814070351758,0,63,28
1,LiangShi,2020-10-25,20,200,0,12.150525075156033,19.27985912256885,28.75249205928621,38.94100872266885,53.0922598313293,0.8442211055276382,0.6231155778894473,0.23115577889447236,0.04522613065326633,0,63,28
2,LiangShi,2020-10-25,20,200,0,24.11502132964553,40.76820283898674,53.389447080603354,59.697354148673575,68.99410832226198,0.8592964824120602,0.7336683417085427,0.5829145728643216,0.2562814070351759,1,63,28
3,LiangShi,2020-10-25,20,200,0,11.245293941288185,16.25764916686089,26.553023644688583,42.71819075741144,59.40722357699704,0.8140703517587939,0.5628140703517588,0.1658291457286432,0.06030150753768844,0,63,28
4,LiangShi,2020-10-25,20,200,0,5.807222204136457,10.355958209114746,23.99742875746998,43.68385521410421,49.2584145481963,0.5527638190954773,0.2663316582914573,0.11055276381909548,0.06532663316582915,0,63,28
5,LiangShi,2020-10-25,20,200,0,19.147397911665294,24.363500491859796,32.47880694593366,38.14422674321147,51.78618705239456,0.9748743718592965,0.8291457286432161,0.4623115577889447,0.04020100502512563,0,63,28
6,LiangShi,2020-10-25,20,200,0,5.5663022234383535,9.067474208158892,21.323323191683766,41.899554016397765,60.36764673983287,0.5628140703517588,0.22110552763819097,0.11055276381909548,0.05527638190954774,1,63,28
7,LiangShi,2020-10-25,21,200,0,8.34318546458203,13.250462382308466,21.647996137115026,29.790537827017975,45.67018160078704,0.7236180904522613,0.3969849246231156,0.11557788944723618,0.02512562814070352,0,63,28
8,LiangShi,2020-10-25,21,200,0,26.48263109378943,34.95522929386419,42.07248243325499,45.04143436478009,49.71786690042001,0.9296482412060302,0.8894472361809045,0.6633165829145728,0.1507537688442211,0,63,28
9,LiangShi,2020-10-25,21,200,0,7.157858256313441,10.774142936822257,17.317434263378807,39.536672118629824,55.51263243995416,0.6633165829145728,0.3015075376884422,0.09045226130653267,0.05025125628140704,0,63,28
10,LiangShi,2020-10-25,21,200,0,19.9816255964897,27.996252344419524,33.51296621609713,39.494044302329115,60.87458315505397,0.914572864321608,0.7889447236180904,0.49748743718592964,0.05025125628140704,0,63,28
11,LiangShi,2020-10-25,21,200,0,4.121530370643126,7.175348229244193,9.85802445848763,12.26738802478658,14.948926843433256,0.44221105527638194,0.09547738693467336,0.005025125628140704,0.0,0,63,28
12,LiangShi,2020-10-25,21,200,0,6.508455163624683,11.132386587074205,18.312101315662783,22.46016102020298,39.645066385866,0.6884422110552764,0.2814070351758794,0.08040201005025126,0.010050251256281407,2,63,28
13,LiangShi,2020-10-25,21,200,4,13.982958314291821,23.326501338918714,43.234439825265866,75.15583080651545,157.61067575537774,0.9119170984455959,0.6683937823834197,0.32642487046632124,0.11917098445595854,0,56,25
14,MantianXue,2020-10-26,1d30,200,0,43.19080247912427,52.541067177102306,63.22797810531226,69.575403643357,106.00892355502613,0.964824120603015,0.9346733668341709,0.8291457286432161,0.5678391959798995,0,63,28
15,MantianXue,2020-10-26,1d30,200,0,22.26728426045532,35.331365138483726,49.772301254349344,64.16254325305214,96.53880301680147,0.8994974874371859,0.7587939698492462,0.5527638190954773,0.21608040201005024,0,63,28
16,MantianXue,2020-10-26,1d30,200,0,9.671043760766006,16.942180684049763,31.061417945178153,41.24445723180171,49.921001975986975,0.7537688442211056,0.46733668341708545,0.20603015075376885,0.05527638190954774,0,63,28
17,MantianXue,2020-10-26,1d30,200,0,38.12328156708519,57.515817669408094,70.40623422618786,75.05172219568267,98.62415843497514,0.9798994974874372,0.9346733668341709,0.7788944723618091,0.46733668341708545,0,63,28
18,MantianXue,2020-10-26,1d30,200,0,26.691187727390073,34.23283414050227,40.32033364443595,43.614299104100546,48.91231249006755,0.9798994974874372,0.949748743718593,0.7889447236180904,0.11055276381909548,0,63,28
19,MantianXue,2020-10-26,1d30,200,0,11.072194956173618,17.215021278652834,26.824568565021245,43.51548924213994,69.22647217835919,0.8090452261306532,0.5577889447236181,0.19095477386934673,0.06532663316582915,0,63,28
20,MantianXue,2020-10-26,1d30,200,0,21.434078330045693,27.593699372348844,33.027212599427116,37.12272638161766,50.94816247204621,0.9296482412060302,0.8040201005025126,0.5276381909547738,0.04522613065326633,0,63,28
21,MantianXue,2020-10-26,1d30,200,0,6.753210510263363,10.48972179446396,16.70901145468632,21.48227292998165,47.09357162585599,0.6834170854271356,0.271356783919598,0.07537688442211055,0.020100502512562814,2,63,28
22,MantianXue,2020-10-26,1d31,200,0,19.0834622700599,31.132356646214667,47.90223710022083,55.24130649644996,68.6220340450383,0.864321608040201,0.6934673366834171,0.4723618090452261,0.1708542713567839,0,63,28
23,MantianXue,2020-10-26,1d31,200,0,29.579084823632655,49.75187974229803,69.85098501107537,85.35228172364424,94.15707506102153,0.9597989949748744,0.8693467336683417,0.6984924623115578,0.36683417085427134,0,63,28
24,MantianXue,2020-10-26,1d31,200,0,8.450609070512224,13.892131689396312,26.365136882803984,48.62575074361471,66.53416922623626,0.7336683417085427,0.4020100502512563,0.135678391959799,0.06030150753768844,0,63,28
25,MantianXue,2020-10-26,1d31,200,15,22.431451245013086,34.37436370704267,51.50550994421015,84.87572034601224,257.4062328197681,0.96045197740113,0.8700564971751412,0.5819209039548022,0.1864406779661017,0,0,0
26,MantianXue,2020-10-26,1d31,200,0,17.946065956422853,31.820733360888745,54.33915165755104,85.32178042679554,349.1322665295033,0.8592964824120602,0.6884422110552764,0.4472361809045226,0.20100502512562815,0,63,28
27,MantianXue,2020-10-26,1d31,200,0,22.31590884613338,37.45302988276657,66.5405932180043,80.41736460973762,135.0103376557331,0.964824120603015,0.8442211055276382,0.5376884422110553,0.23115577889447236,0,63,28
28,MantianXue,2020-10-26,1d31,200,4,21.018522045321173,45.19113360153516,156.05482477177952,394.0930666857562,546.5337674701395,0.93717277486911,0.7382198952879581,0.5130890052356021,0.28272251308900526,0,0,0
29,MikeFoshey,2020-10-26,10,200,0,30.5536520781607,39.386976480673596,45.0076030848387,48.50807675530757,59.615475486516374,0.9949748743718593,0.9899497487437185,0.8693467336683417,0.23618090452261306,0,63,28
30,MikeFoshey,2020-10-26,10,200,0,12.664906135036052,18.218854150300956,27.369602061503123,34.7117485971356,51.47951734193861,0.8442211055276382,0.6432160804020101,0.21608040201005024,0.04020100502512563,0,63,28
31,MikeFoshey,2020-10-26,10,200,0,11.908823066098142,22.548773864494514,41.55068626708385,57.89163248470402,83.48022532538833,0.7939698492462312,0.5678391959798995,0.3015075376884422,0.12060301507537688,0,63,28
32,MikeFoshey,2020-10-26,10,200,0,17.73449277285033,34.71497608071847,50.20485357620539,56.30249495315281,64.14127912903,0.8341708542713567,0.6934673366834171,0.4824120603015075,0.20100502512562815,0,63,28
33,MikeFoshey,2020-10-26,10,200,0,17.099993203218705,26.262329635498016,33.592508719303986,38.017073163388744,43.61377564399993,0.949748743718593,0.7688442211055276,0.4271356783919598,0.04522613065326633,0,63,28
34,MikeFoshey,2020-10-26,10,200,0,13.466719672481002,19.848756851412922,44.29899534663295,57.062706941494525,80.4176058060474,0.8844221105527639,0.6984924623115578,0.24623115577889448,0.11557788944723618,0,63,28
35,MikeFoshey,2020-10-26,10,200,0,13.971844186566653,18.19076863623676,24.06075144911362,35.422846408403025,57.75047178356016,0.8793969849246231,0.678391959798995,0.20603015075376885,0.04020100502512563,1,63,28
36,MikeFoshey,2020-10-26,10,200,0,4.154522547590534,7.136390304392476,10.844029129950071,20.095793290622805,49.99834556561814,0.3969849246231156,0.10552763819095477,0.05025125628140704,0.020100502512562814,0,63,28
37,MikeFoshey,2020-10-26,11,200,0,9.60739577396344,22.04666073002185,33.00238939768014,42.189455108837684,66.52886193889977,0.6733668341708543,0.4824120603015075,0.271356783919598,0.06030150753768844,0,63,28
38,MikeFoshey,2020-10-26,11,200,0,29.324587314034908,54.46600698540266,75.75148478200278,83.06798638524774,92.05080175978597,0.8793969849246231,0.7537688442211056,0.5979899497487438,0.3869346733668342,1,63,28
39,MikeFoshey,2020-10-26,11,200,0,10.613324815372637,17.78365340813714,33.11110632622547,39.32746235935438,54.044680157559476,0.7839195979899497,0.5376884422110553,0.21105527638190955,0.05025125628140704,0,63,28
40,MikeFoshey,2020-10-26,11,200,0,20.41631197794938,30.80218883486816,35.72276902524301,40.7011644102097,48.54015255190673,0.8743718592964824,0.7386934673366834,0.5025125628140703,0.05527638190954774,0,63,28
41,MikeFoshey,2020-10-26,11,200,0,27.231035771481597,64.2458632806576,102.10876117268356,128.42579303951197,179.23655803118788,0.9547738693467337,0.8241206030150754,0.6080402010050251,0.35175879396984927,0,63,28
42,MikeFoshey,2020-10-26,11,200,0,17.982646052065526,34.784170842549074,58.073985865742884,81.34281686149606,176.8736970840107,0.8894472361809045,0.7286432160804021,0.4472361809045226,0.20603015075376885,1,63,28
43,MikeFoshey,2020-10-26,11,200,3,28.14876656481578,35.907754199383305,47.972959681433046,71.79854331981869,112.92761897372328,0.9536082474226805,0.8969072164948454,0.7164948453608248,0.18041237113402062,0,31,14
44,PingchuanMa,2020-10-25,20,200,0,53.92722164352096,66.51299401021929,73.255902368606,77.3459112025668,82.6946312751129,0.914572864321608,0.8743718592964824,0.8241206030150754,0.7035175879396985,1,63,28
45,PingchuanMa,2020-10-25,20,200,0,20.657613771819705,41.508432214269995,60.261868533459555,68.88894366321993,102.01999330433146,0.8793969849246231,0.7135678391959799,0.5226130653266332,0.27638190954773867,1,63,28
46,PingchuanMa,2020-10-25,20,200,0,9.038463095587247,13.188306106808522,18.799080165618495,25.06314066220052,32.818081044745995,0.8241206030150754,0.4472361809045226,0.09547738693467336,0.005025125628140704,0,63,28
47,PingchuanMa,2020-10-25,20,200,0,45.80830297409008,69.52917510367982,92.82127008475136,102.84279881811683,110.56971533421601,0.9597989949748744,0.8743718592964824,0.7688442211055276,0.5628140703517588,0,63,28
48,PingchuanMa,2020-10-25,20,200,0,12.3664916910484,18.769722686505446,32.043858011509734,54.665565889589814,98.58224185593758,0.8341708542713567,0.5778894472361809,0.24120603015075376,0.07035175879396985,0,63,28
49,PingchuanMa,2020-10-25,20,200,0,13.157774170486807,19.017320650750026,38.568742018985084,54.328335249256924,94.7379718844978,0.8391959798994975,0.6331658291457286,0.23115577889447236,0.09547738693467336,1,63,28
50,PingchuanMa,2020-10-25,20,200,0,20.35052568997489,26.684512531335862,32.446889294247846,37.656989334612426,51.22530787519105,0.9547738693467337,0.8442211055276382,0.5125628140703518,0.05025125628140704,0,63,28
51,PingchuanMa,2020-10-25,20,200,0,7.380659845364036,14.674367914347485,29.366423553919738,62.271018877157324,102.85813670341672,0.6984924623115578,0.37185929648241206,0.1708542713567839,0.08542713567839195,0,63,28
52,PingchuanMa,2020-10-25,21,200,0,5.880773416589461,23.43170365475747,37.15321328795465,49.67248587161955,79.50480516874396,0.542713567839196,0.4020100502512563,0.2864321608040201,0.08542713567839195,0,63,28
53,PingchuanMa,2020-10-25,21,200,0,26.701440048591568,57.84004739625911,84.69282015101255,91.80258930476737,97.37715912797404,0.8793969849246231,0.7386934673366834,0.5829145728643216,0.4020100502512563,0,63,28
54,PingchuanMa,2020-10-25,21,200,0,6.367905894521071,10.626053368723804,18.571644765491484,29.993015380112006,86.21817869073264,0.6130653266331658,0.2914572864321608,0.09547738693467336,0.04020100502512563,0,63,28
55,PingchuanMa,2020-10-25,21,200,0,19.076278886541665,36.884842730711625,48.16901617135948,57.93949734435222,63.69361142291854,0.8140703517587939,0.6582914572864321,0.49246231155778897,0.19095477386934673,1,63,28
56,PingchuanMa,2020-10-25,21,200,0,7.040916723901893,15.172070302813227,32.73345698901745,41.42991262961455,68.28001356349648,0.6180904522613065,0.36180904522613067,0.21608040201005024,0.06030150753768844,1,63,28
57,PingchuanMa,2020-10-25,21,200,0,21.85601346920647,39.92323913307605,73.56226052237218,110.22460251203113,404.02052835889396,0.9246231155778895,0.8241206030150754,0.5527638190954773,0.25125628140703515,0,63,28
58,PingchuanMa,2020-10-25,21,200,28,28.79719093884712,57.280571977506874,91.99542480278402,127.05937260916876,194.09972807877907,0.9454545454545454,0.8303030303030303,0.593939393939394,0.38181818181818183,1,18,8
59,TimErps,2020-10-26,20,200,0,16.16341117345791,37.011750831861136,48.10490313815351,55.17946153743682,65.37825861230485,0.7537688442211056,0.5829145728643216,0.45226130653266333,0.21105527638190955,1,63,28
60,TimErps,2020-10-26,20,200,0,7.188459704929796,12.53861654116154,21.568235356481626,37.819686559083245,65.08174155948105,0.7035175879396985,0.33668341708542715,0.10552763819095477,0.05025125628140704,2,63,28
61,TimErps,2020-10-26,20,200,0,7.200935548221935,12.581651789301098,29.889017750030725,57.4237257803414,94.54481818684792,0.7286432160804021,0.35175879396984927,0.1658291457286432,0.07537688442211055,0,63,28
62,TimErps,2020-10-26,20,200,0,16.043897875509902,42.05828739340237,71.30181574625614,84.54702914943819,104.7004991842065,0.8693467336683417,0.6432160804020101,0.4271356783919598,0.271356783919598,0,63,28
63,TimErps,2020-10-26,20,200,0,15.531624780018145,23.81200153662899,46.85367966708104,55.509988929670165,79.04690761342202,0.8391959798994975,0.6482412060301508,0.33668341708542715,0.11557788944723618,0,63,28
64,TimErps,2020-10-26,20,200,0,11.096757595698906,27.515311732148866,58.01336094008672,70.93668923941037,90.68881602951626,0.7989949748743719,0.5226130653266332,0.3165829145728643,0.17587939698492464,1,63,28
65,TimErps,2020-10-26,20,200,0,13.348448280590638,22.731261039429896,51.19916325078563,71.0549840255751,90.24412937926601,0.8994974874371859,0.678391959798995,0.31155778894472363,0.12562814070351758,0,63,28
66,TimErps,2020-10-26,20,200,0,10.514865916991583,18.60259940756859,39.352569693492796,56.99953781418471,74.79396562560322,0.8090452261306532,0.5125628140703518,0.23115577889447236,0.09547738693467336,0,63,28
67,TimErps,2020-10-26,21,200,0,9.935617898913147,25.6847778999419,39.60294057841105,48.28353397932351,62.604891907812814,0.6582914572864321,0.49748743718592964,0.3065326633165829,0.10050251256281408,1,63,28
68,TimErps,2020-10-26,21,200,0,25.614592890753777,45.25854111335494,62.678374019608896,72.12338205077465,80.14262364509074,0.8844221105527639,0.7738693467336684,0.5979899497487438,0.2964824120603015,0,63,28
69,TimErps,2020-10-26,21,200,0,9.974125733914537,17.107710410804387,37.60749458704888,50.99605060491273,70.11938576123553,0.7286432160804021,0.49748743718592964,0.21105527638190955,0.07537688442211055,3,63,28
70,TimErps,2020-10-26,21,200,0,20.699793749177516,27.94159543671295,33.93990297258436,36.474611302561236,43.150388664890514,0.9547738693467337,0.8090452261306532,0.5175879396984925,0.03015075376884422,0,63,28
71,TimErps,2020-10-26,21,200,4,18.640188391652877,32.52668097272116,54.08833224704149,84.15744410981021,353.7607659182906,0.90625,0.75,0.4583333333333333,0.171875,0,37,17
72,TimErps,2020-10-26,21,200,0,16.979819813428712,28.20956495356546,44.5349513059065,62.42320056703372,110.51403495533789,0.914572864321608,0.7386934673366834,0.41708542713567837,0.11557788944723618,0,63,28
73,TimErps,2020-10-26,21,200,25,39.27947483446154,69.52347249456166,174.7950661196034,234.69641376059494,331.183195709403,0.9939024390243902,0.9390243902439024,0.8109756097560976,0.47560975609756095,0,0,0
74,TongZhang,2020-10-24,1d20,200,0,26.322455835494065,37.17759923774049,45.88769063495186,50.884372042817574,62.04770949012586,0.9547738693467337,0.8743718592964824,0.678391959798995,0.19597989949748743,0,63,28
75,TongZhang,2020-10-24,1d20,200,0,8.325760885076406,12.202060472900019,18.53890136186258,26.246342938684034,46.374443979490046,0.7085427135678392,0.38190954773869346,0.09045226130653267,0.02512562814070352,1,63,28
76,TongZhang,2020-10-24,1d20,200,0,6.016951963507922,9.536807688042973,14.855197702071944,18.25127147395644,23.32230618987008,0.5879396984924623,0.22110552763819097,0.02512562814070352,0.0,0,63,28
77,TongZhang,2020-10-24,1d20,200,0,25.555604246948654,45.712268438775894,59.91682439650888,64.30490069960938,78.16937671901952,0.8693467336683417,0.7537688442211056,0.5577889447236181,0.2964824120603015,0,63,28
78,TongZhang,2020-10-24,1d20,200,0,8.701760237126644,14.178946198890628,31.99683080100381,54.3629789561724,59.174383196384234,0.7135678391959799,0.44221105527638194,0.16080402010050251,0.08542713567839195,1,63,28
79,TongZhang,2020-10-24,1d20,200,0,9.495621089596659,20.688505965646698,47.23815498476729,55.66327104305915,64.73194285849951,0.7939698492462312,0.4623115577889447,0.2613065326633166,0.1507537688442211,1,63,28
80,TongZhang,2020-10-24,1d20,200,0,11.659984769547375,14.48125769267929,16.8952728088061,19.08698181052841,22.869809020920513,0.8994974874371859,0.6030150753768844,0.04522613065326633,0.0,0,63,28
81,TongZhang,2020-10-24,1d20,200,0,4.864470630257949,7.8818515136109255,12.259787679107712,16.163518493667553,28.28219884966654,0.48743718592964824,0.15577889447236182,0.01507537688442211,0.005025125628140704,0,63,28
82,TongZhang,2020-10-24,1d21,200,0,15.528642479633367,34.2724567931123,54.981277510899744,65.7346123715145,76.77952071732483,0.7537688442211056,0.592964824120603,0.457286432160804,0.17587939698492464,0,63,28
83,TongZhang,2020-10-24,1d21,200,0,34.98513828874659,70.2846812970834,101.1218618619711,110.05384912249741,155.92330275550725,0.9396984924623115,0.8391959798994975,0.6733668341708543,0.4623115577889447,0,63,28
84,TongZhang,2020-10-24,1d21,200,0,5.062027155213973,10.376692932383474,21.15521954737505,39.11756123866668,55.176986507464036,0.5025125628140703,0.2613065326633166,0.11557788944723618,0.05025125628140704,0,63,28
85,TongZhang,2020-10-24,1d21,200,0,8.726691987637258,17.055961139093778,27.548006842262307,37.1369271335547,47.319399023111956,0.7085427135678392,0.44221105527638194,0.20603015075376885,0.035175879396984924,0,63,28
86,TongZhang,2020-10-24,1d21,200,0,10.419470196084708,26.85437843879761,42.87123569496997,51.56456131980826,67.71817374811744,0.7788944723618091,0.5125628140703518,0.34673366834170855,0.12562814070351758,0,63,28
87,TongZhang,2020-10-24,1d21,200,0,16.052142224289828,31.780814612210982,50.07392812610727,65.8531888671836,73.4765175579815,0.7989949748743719,0.6180904522613065,0.3969849246231156,0.18592964824120603,1,63,28
88,TongZhang,2020-10-24,1d21,200,30,30.20180949567312,77.89233121278082,278.7848944810464,408.6684462821901,676.9079624615956,0.9617834394904459,0.9171974522292994,0.7197452229299363,0.4012738853503185,1,0,0
89,WanShou,2020-10-26,20,200,0,25.750461377221896,40.24474761790444,47.39135012349634,50.8295710743084,53.14335702196811,0.864321608040201,0.7889447236180904,0.6180904522613065,0.2562814070351759,1,63,28
90,WanShou,2020-10-26,20,200,0,8.855467110425751,14.086500854996249,21.233217544586605,25.741037083041633,60.596497293107745,0.7889447236180904,0.457286432160804,0.12060301507537688,0.03015075376884422,0,63,28
91,WanShou,2020-10-26,20,200,0,14.07398426260634,22.299878899933198,32.29768217585444,40.6710233765492,47.02081185285446,0.914572864321608,0.7236180904522613,0.2864321608040201,0.06030150753768844,0,63,28
92,WanShou,2020-10-26,20,200,0,23.78516458397944,38.154597495455405,47.40759487129496,52.262561599367636,55.60681331523209,0.9748743718592965,0.8542713567839196,0.5728643216080402,0.21608040201005024,0,63,28
93,WanShou,2020-10-26,20,200,0,13.545608563909047,19.37777964491765,26.19188228799427,30.110102902492105,40.487612627759326,0.8090452261306532,0.592964824120603,0.23618090452261306,0.01507537688442211,0,63,28
94,WanShou,2020-10-26,20,200,0,10.821647905601962,17.46904355028459,29.397976586200876,40.0729126609982,59.56944729151427,0.7688442211055276,0.5376884422110553,0.20603015075376885,0.05527638190954774,0,63,28
95,WanShou,2020-10-26,20,200,0,22.0986076540372,30.543938187529754,37.87367912236675,42.10977796983819,62.65924723006007,0.949748743718593,0.8592964824120602,0.5879396984924623,0.07035175879396985,0,63,28
96,WanShou,2020-10-26,20,200,0,8.20588928771391,14.751006151528989,27.471622971640272,41.23586281362584,54.73243761614203,0.7336683417085427,0.41708542713567837,0.15577889447236182,0.05527638190954774,0,63,28
97,WanShou,2020-10-26,21,200,0,7.564338158680121,19.168502355227638,36.56319172854459,51.18599506179559,67.4536390478964,0.6381909547738693,0.4221105527638191,0.24623115577889448,0.08040201005025126,1,63,28
98,WanShou,2020-10-26,21,200,0,33.10516312939795,51.19364207278087,59.101598602053805,61.86307788929139,66.58250358628923,0.964824120603015,0.8693467336683417,0.7336683417085427,0.40703517587939697,0,63,28
99,WanShou,2020-10-26,21,200,0,8.261089471927278,12.636284368783096,18.475092957129768,30.518118499900613,45.59109398283746,0.7537688442211056,0.3768844221105528,0.09045226130653267,0.01507537688442211,0,63,28
100,WanShou,2020-10-26,21,200,1,31.396405763639596,43.46154345516929,55.92379551214395,64.85647522603396,512.1794336083938,0.9593908629441624,0.8324873096446701,0.6751269035532995,0.3299492385786802,0,58,25
101,WanShou,2020-10-26,21,200,5,17.819120203788575,81.55215652214471,145.12826558512782,210.98458670853202,276.64555669562947,0.8359788359788359,0.6137566137566137,0.48148148148148145,0.36507936507936506,1,31,14
102,WanShou,2020-10-26,21,200,0,14.458699046736713,26.129585377929615,42.451245187936586,52.37344016067973,72.51373593788917,0.8542713567839196,0.678391959798995,0.38190954773869346,0.12060301507537688,0,63,28
103,WanShou,2020-10-26,21,200,2,29.612391376796253,52.88775553021782,85.14356189193181,117.35722873182505,182.62853553529735,0.9487179487179487,0.8307692307692308,0.6461538461538462,0.36923076923076925,0,0,0
104,YiyueLuo,2020-10-24,10,5000,0,11.865174902545313,20.824255151960593,33.68984669466016,41.82686334050419,55.9977968662328,0.8117623524704941,0.5671134226845369,0.26865373074614923,0.05841168233646729,11,3423,1468
105,YiyueLuo,2020-10-24,21,1000,0,12.145859814042565,23.738572203722775,38.755270569755794,48.36661525034746,77.6498670274333,0.7697697697697697,0.5555555555555556,0.3133133133133133,0.09109109109109109,3,623,268
106,YunzhuLi,2020-10-25,10,200,0,41.58488022222934,49.46366257506081,58.63707408566565,63.153117059388876,74.5736575622234,1.0,0.9798994974874372,0.9195979899497487,0.542713567839196,0,63,28
107,YunzhuLi,2020-10-25,10,200,0,20.982924878477142,35.73994460942796,48.58969852372013,71.55185248936364,144.8908348858949,0.8944723618090452,0.7386934673366834,0.5276381909547738,0.19597989949748743,0,63,28
